ERP,PPK.SKU,Order.Date,Category,Key.Item,Pack.Configuration,Style,ppk_ordered_qty,Full.Description,prepack_color,ordered_sku,qty_in_prepack,ordered_qty,unit_color,Ship.City,Ship.Region,Ship.Country,Ship.Zip
#1735,21331199,2020-02-15T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Stone",13702052,1,1,Citrus,Peabody,Massachusetts,United States,1960
#1735,21331199,2020-02-15T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Stone",13702020,1,1,Stone,Peabody,Massachusetts,United States,1960
#1735,n/a,2020-02-15T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Crew Green,,11442211,,3,Crew Green,Peabody,Massachusetts,United States,1960
#1736,21321120,2020-02-15T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Madison,Wisconsin,United States,53705
#1736,21341099,2020-02-15T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702050,2,2,Paloma,Madison,Wisconsin,United States,53705
#1736,21341099,2020-02-15T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702052,2,2,Citrus,Madison,Wisconsin,United States,53705
#1736,21341099,2020-02-15T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702011,2,2,Crew Green,Madison,Wisconsin,United States,53705
#1737,n/a,2020-02-15T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Crew Green,,11442211,,2,Crew Green,Oakland,California,United States,94609
#1737,n/a,2020-02-15T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Crew Green,,13701011,,1,Crew Green,Oakland,California,United States,94609
#1737,n/a,2020-02-15T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Oakland,California,United States,94609
#1739,n/a,2020-02-15T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Stone,,13701020,,1,Stone,San Jose,California,United States,95125
#1740,21321111,2020-02-16T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Crew Green,Crew Green,11442211,6,6,Crew Green,Nashville,Tennessee,United States,37201
#1740,21331399,2020-02-16T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Industry,Industry,13702011,1,1,Crew Green,Nashville,Tennessee,United States,37201
#1740,21331399,2020-02-16T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Industry,Industry,13702052,1,1,Citrus,Nashville,Tennessee,United States,37201
#1740,21331399,2020-02-16T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Industry,Industry,13702020,1,1,Stone,Nashville,Tennessee,United States,37201
#1741,21331099,2020-02-17T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702050,1,1,Paloma,Miami,Florida,United States,33166
#1741,21331099,2020-02-17T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702052,1,1,Citrus,Miami,Florida,United States,33166
#1741,21331099,2020-02-17T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702011,1,1,Crew Green,Miami,Florida,United States,33166
#1742,21321120,2020-02-18T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Atlanta,Georgia,United States,30305
#1742,21351099,2020-02-18T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702050,4,4,Paloma,Atlanta,Georgia,United States,30305
#1742,21351099,2020-02-18T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702052,4,4,Citrus,Atlanta,Georgia,United States,30305
#1742,21351099,2020-02-18T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702011,4,4,Crew Green,Atlanta,Georgia,United States,30305
#1743,21321111,2020-02-18T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Crew Green,Crew Green,11442211,6,6,Crew Green,San Francisco,California,United States,94117
#1743,21330111,2020-02-18T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Crew Green,Crew Green,13702111,3,3,Crew Green,San Francisco,California,United States,94117
#1744,n/a,2020-02-18T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Stone,,11442220,,1,Stone,Jacksonville,Florida,United States,32206
#1744,n/a,2020-02-18T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Paloma,,13701050,,1,Paloma,Jacksonville,Florida,United States,32206
#1745,n/a,2020-02-18T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Crew Green,,11442211,,2,Crew Green,New York,New York,United States,10013
#1745,n/a,2020-02-18T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Crew Green,,13701011,,1,Crew Green,New York,New York,United States,10013
#1746,21321111,2020-02-18T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Crew Green,Crew Green,11442211,6,6,Crew Green,Fayetteville Ar,Arkansas,United States,72701
#1746,21321120,2020-02-18T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Fayetteville Ar,Arkansas,United States,72701
#1747,n/a,2020-02-18T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Crew Green,,11442211,,1,Crew Green,Bloomington,Indiana,United States,47403
#1747,n/a,2020-02-18T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Crew Green,,13701011,,1,Crew Green,Bloomington,Indiana,United States,47403
#1748,21333199,2020-02-18T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Retired,"Paloma, Citrus, Stone",13702150,1,1,Paloma,Highland Village,Texas,United States,75077
#1748,21333199,2020-02-18T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Retired,"Paloma, Citrus, Stone",13702152,1,1,Citrus,Highland Village,Texas,United States,75077
#1748,21333199,2020-02-18T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Retired,"Paloma, Citrus, Stone",13702120,1,1,Stone,Highland Village,Texas,United States,75077
#1749,n/a,2020-02-19T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Berkley,Michigan,United States,48072
#1750,21350020,2020-02-19T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Stone,Stone,13702020,12,12,Stone,Nottingham,Maryland,United States,21236
#1751,21321111,2020-02-19T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,3,Pour Boy - 6-Pack - Crew Green,Crew Green,11442211,6,18,Crew Green,Worcester,Massachusetts,United States,1609
#1751,21321120,2020-02-19T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,3,Pour Boy - 6-Pack - Stone,Stone,11442220,6,18,Stone,Worcester,Massachusetts,United States,1609
#1751,21351099,2020-02-19T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702050,4,4,Paloma,Worcester,Massachusetts,United States,1609
#1751,21351099,2020-02-19T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702052,4,4,Citrus,Worcester,Massachusetts,United States,1609
#1751,21351099,2020-02-19T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702011,4,4,Crew Green,Worcester,Massachusetts,United States,1609
#1752,21321120,2020-02-19T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Round Lake,Illinois,United States,60073
#1753,21321120,2020-02-20T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Denver,Colorado,United States,80206
#1754,21321120,2020-02-21T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,2,Pour Boy - 6-Pack - Stone,Stone,11442220,6,12,Stone,Key West,Florida,United States,33040
#1754,21340120,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Crafty,1,Crew Bottle - 6-Pack - Crafty / Stone,Stone,13702120,6,6,Stone,Key West,Florida,United States,33040
#1754,21360020,2020-02-21T00:00:00Z,Ecomm,Chubby Bottle,6-Pack,Classic,1,Chubby Bottle - 6-Pack - Classic / Stone,Stone,13701020,6,6,Stone,Key West,Florida,United States,33040
#1755,21331199,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Stone",13702050,1,1,Paloma,Chattanooga,Tennessee,United States,37412
#1755,21331199,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Stone",13702052,1,1,Citrus,Chattanooga,Tennessee,United States,37412
#1755,21331199,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Stone",13702020,1,1,Stone,Chattanooga,Tennessee,United States,37412
#1756,n/a,2020-02-21T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Crew Green,,11442211,,3,Crew Green,New York,New York,United States,10001
#1756,n/a,2020-02-21T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Stone,,11442220,,3,Stone,New York,New York,United States,10001
#1756,n/a,2020-02-21T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Crew Green,,13701011,,1,Crew Green,New York,New York,United States,10001
#1756,n/a,2020-02-21T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Stone,,13701020,,1,Stone,New York,New York,United States,10001
#1756,n/a,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,New York,New York,United States,10001
#1756,n/a,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,New York,New York,United States,10001
#1756,n/a,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,New York,New York,United States,10001
#1757,21321111,2020-02-21T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Crew Green,Crew Green,11442211,6,6,Crew Green,Burlington,Wisconsin,United States,53105
#1757,21331099,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702050,1,1,Paloma,Burlington,Wisconsin,United States,53105
#1757,21331099,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702052,1,1,Citrus,Burlington,Wisconsin,United States,53105
#1757,21331099,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702011,1,1,Crew Green,Burlington,Wisconsin,United States,53105
#1758,n/a,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,Peabody,Massachusetts,United States,1960
#1759,21341199,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Stone",13702050,2,2,Paloma,Santa Cruz,California,United States,95060
#1759,21341199,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Stone",13702052,2,2,Citrus,Santa Cruz,California,United States,95060
#1759,21341199,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Stone",13702020,2,2,Stone,Santa Cruz,California,United States,95060
#1760,n/a,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Irving,Texas,United States,75062
#1761,21330011,2020-02-21T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Classic,1,Crew Bottle - 3-Pack - Classic / Crew Green,Crew Green,13702011,3,3,Crew Green,San Francisco,California,United States,94121
#1762,n/a,2020-02-22T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Crew Green,,11442211,,1,Crew Green,Novato,California,United States,94945
#1762,n/a,2020-02-22T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Stone,,11442220,,1,Stone,Novato,California,United States,94945
#1762,n/a,2020-02-22T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Crew Green,,13701011,,1,Crew Green,Novato,California,United States,94945
#1762,n/a,2020-02-22T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Novato,California,United States,94945
#1763,21321120,2020-02-22T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Omaha,Nebraska,United States,68135
#1763,21361199,2020-02-22T00:00:00Z,Ecomm,Chubby Bottle,6-Pack,Classic,1,Chubby Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Stone",13701050,2,2,Paloma,Omaha,Nebraska,United States,68135
#1763,21361199,2020-02-22T00:00:00Z,Ecomm,Chubby Bottle,6-Pack,Classic,1,Chubby Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Stone",13701052,2,2,Citrus,Omaha,Nebraska,United States,68135
#1763,21361199,2020-02-22T00:00:00Z,Ecomm,Chubby Bottle,6-Pack,Classic,1,Chubby Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Stone",13701020,2,2,Stone,Omaha,Nebraska,United States,68135
#1764,21321120,2020-02-22T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Plano,Texas,United States,75093
#1764,21350120,2020-02-22T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Crafty,1,Crew Bottle - 12-Pack - Crafty / Stone,Stone,13702120,12,12,Stone,Plano,Texas,United States,75093
#1765,21321111,2020-02-22T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Crew Green,Crew Green,11442211,6,6,Crew Green,Savannah,Georgia,United States,31406
#1765,21321120,2020-02-22T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Savannah,Georgia,United States,31406
#1766,n/a,2020-02-24T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Milwaukee,Wisconsin,United States,53202
#1767,n/a,2020-02-24T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Crew Green,,11442211,,1,Crew Green,Houston,Texas,United States,77002
#1767,n/a,2020-02-24T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Stone,,11442220,,1,Stone,Houston,Texas,United States,77002
#1767,n/a,2020-02-24T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Crew Green,,13701011,,1,Crew Green,Houston,Texas,United States,77002
#1767,n/a,2020-02-24T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Citrus,,13701052,,1,Citrus,Houston,Texas,United States,77002
#1768,21351099,2020-02-24T00:00:00Z,Wholesale,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702050,4,4,Paloma,Charlotte,North Carolina,United States,28203
#1768,21351099,2020-02-24T00:00:00Z,Wholesale,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702052,4,4,Citrus,Charlotte,North Carolina,United States,28203
#1768,21351099,2020-02-24T00:00:00Z,Wholesale,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702011,4,4,Crew Green,Charlotte,North Carolina,United States,28203
#1769,21321111,2020-02-24T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,2,Pour Boy - 6-Pack - Crew Green,Crew Green,11442211,6,12,Crew Green,Denver,Colorado,United States,80211
#1769,21341099,2020-02-24T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702050,2,2,Paloma,Denver,Colorado,United States,80211
#1769,21341099,2020-02-24T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702052,2,2,Citrus,Denver,Colorado,United States,80211
#1769,21341099,2020-02-24T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702011,2,2,Crew Green,Denver,Colorado,United States,80211
#1769,n/a,2020-02-24T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Crew Green,,13701011,,2,Crew Green,Denver,Colorado,United States,80211
#1769,n/a,2020-02-24T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,2,Crew Green,Denver,Colorado,United States,80211
#1770,21321120,2020-02-24T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,4,Pour Boy - 6-Pack - Stone,Stone,11442220,6,24,Stone,Austin,Texas,United States,78701
#1771,n/a,2020-02-25T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Crew Green,,11442211,,1,Crew Green,Granville,Ohio,United States,43023
#1771,n/a,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,1,Citrus,Granville,Ohio,United States,43023
#1772,21333099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Retired,"Paloma, Citrus, Crew Green",13702150,1,1,Paloma,Frisco,Texas,United States,75034
#1772,21333099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Retired,"Paloma, Citrus, Crew Green",13702152,1,1,Citrus,Frisco,Texas,United States,75034
#1772,21333099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Retired,"Paloma, Citrus, Crew Green",13702111,1,1,Crew Green,Frisco,Texas,United States,75034
#1773,21340011,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Crew Green,Crew Green,13702011,6,6,Crew Green,State College,Pennsylvania,United States,16803
#1773,21340052,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Classic,1,Crew Bottle - 6-Pack - Classic / Citrus,Citrus,13702052,6,6,Citrus,State College,Pennsylvania,United States,16803
#1774,n/a,2020-02-25T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Stone,,11442220,,1,Stone,Reynoldsburg,Ohio,United States,43068
#1774,n/a,2020-02-25T00:00:00Z,Ecomm,Chubby Bottle,Single,Classic,,Chubby Bottle - Single - Classic / Paloma,,13701050,,1,Paloma,Reynoldsburg,Ohio,United States,43068
#1775,21321111,2020-02-25T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Crew Green,Crew Green,11442211,6,6,Crew Green,Marietta,Georgia,United States,30064
#1775,21321120,2020-02-25T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,2,Pour Boy - 6-Pack - Stone,Stone,11442220,6,12,Stone,Marietta,Georgia,United States,30064
#1776,21351099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702050,4,4,Paloma,Dallas,Texas,United States,75254
#1776,21371399,2020-02-25T00:00:00Z,Ecomm,Chubby Bottle,12-Pack,Classic,1,Chubby Bottle - 12-Pack - Classic / Industry,Industry,13701011,4,4,Crew Green,Dallas,Texas,United States,75254
#1776,21351099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702052,4,4,Citrus,Dallas,Texas,United States,75254
#1776,21371399,2020-02-25T00:00:00Z,Ecomm,Chubby Bottle,12-Pack,Classic,1,Chubby Bottle - 12-Pack - Classic / Industry,Industry,13701052,4,4,Citrus,Dallas,Texas,United States,75254
#1776,21351099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Classic,1,Crew Bottle - 12-Pack - Classic / Retired,"Paloma, Citrus, Crew Green",13702011,4,4,Crew Green,Dallas,Texas,United States,75254
#1776,21371399,2020-02-25T00:00:00Z,Ecomm,Chubby Bottle,12-Pack,Classic,1,Chubby Bottle - 12-Pack - Classic / Industry,Industry,13701020,4,4,Stone,Dallas,Texas,United States,75254
#1777,21321120,2020-02-25T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,2,Pour Boy - 6-Pack - Stone,Stone,11442220,6,12,Stone,Chicago,Illinois,United States,60666
#1777,21353099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Crafty,1,Crew Bottle - 12-Pack - Crafty / Retired,"Paloma, Citrus, Crew Green",13702150,4,4,Paloma,Chicago,Illinois,United States,60666
#1777,21353099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Crafty,1,Crew Bottle - 12-Pack - Crafty / Retired,"Paloma, Citrus, Crew Green",13702152,4,4,Citrus,Chicago,Illinois,United States,60666
#1777,21353099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Crafty,1,Crew Bottle - 12-Pack - Crafty / Retired,"Paloma, Citrus, Crew Green",13702111,4,4,Crew Green,Chicago,Illinois,United States,60666
#1778,21321120,2020-02-25T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Grapevine,Texas,United States,76051
#1778,21343299,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Crafty,1,Crew Bottle - 6-Pack - Crafty / Retired,"Paloma, Crew Green, Stone",13702150,2,2,Paloma,Grapevine,Texas,United States,76051
#1778,21343299,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Crafty,1,Crew Bottle - 6-Pack - Crafty / Retired,"Paloma, Crew Green, Stone",13702111,2,2,Crew Green,Grapevine,Texas,United States,76051
#1778,21343299,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,6-Pack,Crafty,1,Crew Bottle - 6-Pack - Crafty / Retired,"Paloma, Crew Green, Stone",13702120,2,2,Stone,Grapevine,Texas,United States,76051
#1779,21353099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Crafty,1,Crew Bottle - 12-Pack - Crafty / Retired,"Paloma, Citrus, Crew Green",13702150,4,4,Paloma,Deerfield,Illinois,United States,60015
#1779,21353099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Crafty,1,Crew Bottle - 12-Pack - Crafty / Retired,"Paloma, Citrus, Crew Green",13702152,4,4,Citrus,Deerfield,Illinois,United States,60015
#1779,21353099,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,12-Pack,Crafty,1,Crew Bottle - 12-Pack - Crafty / Retired,"Paloma, Citrus, Crew Green",13702111,4,4,Crew Green,Deerfield,Illinois,United States,60015
#1780,21321120,2020-02-25T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,1,Pour Boy - 6-Pack - Stone,Stone,11442220,6,6,Stone,Columbus,New Jersey,United States,8022
#1780,21333299,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Retired,"Paloma, Crew Green, Stone",13702150,1,1,Paloma,Columbus,New Jersey,United States,8022
#1780,21333299,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Retired,"Paloma, Crew Green, Stone",13702111,1,1,Crew Green,Columbus,New Jersey,United States,8022
#1780,21333299,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,3-Pack,Crafty,1,Crew Bottle - 3-Pack - Crafty / Retired,"Paloma, Crew Green, Stone",13702120,1,1,Stone,Columbus,New Jersey,United States,8022
#1781,21321120,2020-02-25T00:00:00Z,Ecomm,Pour Spout,6-Pack,n/a,5,Pour Boy - 6-Pack - Stone,Stone,11442220,6,30,Stone,Lawrence,Kansas,United States,66044
#1782,21321120,2020-02-25T00:00:00Z,Wholesale,Pour Spout,6-Pack,n/a,20,Pour Boy - 6-Pack - Stone,Stone,11442220,6,120,Stone,Las Vegas,Nevada,United States,89109
#1782,n/a,2020-02-25T00:00:00Z,Wholesale,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,120,Stone,Las Vegas,Nevada,United States,89109
#1783,n/a,2020-02-25T00:00:00Z,Ecomm,Pour Spout,Single,n/a,,Pour Boy - Single - Stone,,11442220,,1,Stone,Brooklyn,New York,United States,11201
#1783,n/a,2020-02-25T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Brooklyn,New York,United States,11201
